timestamp,item_name,sale_price,prev_price,item_id
2025-04-17 07:54:09,Catrin Dia de Muertos Mask,114,116,2528066922
2025-04-17 07:52:55,Vans x Stranger Things Grandfather Clock,1321,1289,11401257331
2025-04-17 07:52:55,Catrin Dia de Muertos Mask,113,114,2528066922
2025-04-17 07:52:37,Egg of Hidden Treasures,127,129,4771699155
2025-04-17 07:52:28,Catrin Dia de Muertos Mask,114,113,2528066922
2025-04-17 07:56:08,Vampiric Egg of Twilight,246,239,76692831
2025-04-17 07:58:44,Egg of Hidden Treasures,131,133,4771699155
2025-04-17 07:58:36,Egg of Hidden Treasures,129,131,4771699155
2025-04-17 08:00:50,Super Happy Elf Hat,214,217,332744533
2025-04-17 08:03:19,8-Bit Extra Life,2391,2432,10159606132
